"Provincia","Canton"," Parroquia","Hombre","Mujer","Total"
"Esmeraldas",""," Total","15344","13130","28474"
"Esmeraldas","QUININDE                      "," CHURA (CHANCAMA)","2617","2116","4733"
"Esmeraldas",""," CUBE","4108","3482","7590"
"Esmeraldas",""," LA UNION","10314","9610","19924"
"Esmeraldas",""," MALIMPIA","9621","8151","17772"
"Esmeraldas",""," ROSA ZARATE (QUININDE)","34758","32501","67259"
"Esmeraldas",""," VICHE","2723","2569","5292"
"Esmeraldas",""," Total","64141","58429","122570"
"Esmeraldas","RIOVERDE                      "," CHONTADURO","1743","1479","3222"
"Esmeraldas",""," CHUMUNDE","1905","1607","3512"
"Esmeraldas",""," LAGARTO","3049","2625","5674"
"Esmeraldas",""," MONTALVO","2106","1903","4009"
"Esmeraldas",""," RIOVERDE","2564","2400","4964"
"Esmeraldas",""," ROCAFUERTE","2805","2683","5488"
"Esmeraldas",""," Total","14172","12697","26869"
"Esmeraldas","SAN LORENZO                   "," 5 DE JUNIO","219","197","416"
"Esmeraldas",""," ALTO TAMBO","1001","870","1871"
"Esmeraldas",""," ANCON (PICHANGAL)","901","913","1814"
"Esmeraldas",""," CALDERON","330","298","628"
"Esmeraldas",""," CARONDELET","898","832","1730"
"Esmeraldas",""," CONCEPCION","1244","1110","2354"
"Esmeraldas",""," MATAJE","786","689","1475"
"Esmeraldas",""," SAN JAVIER DE CACHAVI","343","321","664"
"Esmeraldas",""," SAN LORENZO","12462","12634","25096"
"Esmeraldas",""," SANTA RITA","837","802","1639"
"Esmeraldas",""," TAMBILLO","926","817","1743"
"Esmeraldas",""," TULULBI","1181","1114","2295"
"Esmeraldas",""," URBINA","424","337","761"
"Esmeraldas",""," Total","21552","20934","42486"
"Esmeraldas","Total","","271312","262780","534092"
"Guayas","ALFREDO BAQUERIZO MORENO      "," ALFREDO BAQUERIZO MORENO","13013","12166","25179"
"Guayas",""," Total","13013","12166","25179"
"Guayas","BALAO                         "," BALAO","10998","9525","20523"
"Guayas",""," Total","10998","9525","20523"
"Guayas","BALZAR                        "," BALZAR","28001","25936","53937"
"Guayas",""," Total","28001","25936","53937"
"Guayas","COLIMES                       "," COLIMES","9147","8160","17307"
"Guayas",""," SAN JACINTO","3276","2840","6116"
"Guayas",""," Total","12423","11000","23423"
"Guayas","CORONEL MARCELINO MARIDUEÑA   "," CORONEL MARCELINO MARIDUEÑA","6265","5768","12033"
"Guayas",""," Total","6265","5768","12033"
"Guayas","DAULE                         "," DAULE","43372","44136","87508"
"Guayas",""," JUAN BAUTISTA AGUIRRE","2825","2677","5502"
"Guayas",""," LAUREL","5093","4789","9882"
"Guayas",""," LIMONAL","4497","4277","8774"
"Guayas",""," LOS LOJAS","4408","4252","8660"
"Guayas",""," Total","60195","60131","120326"
"Guayas","DURAN                         "," ELOY ALFARO (DURAN)","116401","119368","235769"
"Guayas",""," Total","116401","119368","235769"
"Guayas","EL EMPALME                    "," EL ROSARIO","4730","4475","9205"
"Guayas",""," GUAYAS (PUEBLO NUEVO)","9313","8266","17579"
"Guayas",""," VELASCO IBARRA","23981","23686","47667"
"Guayas",""," Total","38024","36427","74451"
"Guayas","EL TRIUNFO                    "," EL TRIUNFO","22824","21954","44778"
"Guayas",""," Total","22824","21954","44778"
"Guayas","GENERAL ANTONIO ELIZALDE      "," GENERAL ANTONIO ELIZALDE","5369","5273","10642"
"Guayas",""," Total","5369","5273","10642"
"Guayas","GUAYAQUIL                     "," GUAYAQUIL","1127137","1164021","2291158"
"Guayas",""," JUAN GOMEZ RENDON (PROGR","6134","5763","11897"
"Guayas",""," MORRO","2701","2318","5019"
"Guayas",""," POSORJA","12269","11867","24136"
"Guayas",""," PUNA","3640","3129","6769"
"Guayas",""," TENGUEL","6340","5596","11936"
"Guayas",""," Total","1158221","1192694","2350915"
"Guayas","ISIDRO AYORA                  "," ISIDRO AYORA","5585","5285","10870"
"Guayas",""," Total","5585","5285","10870"
"Guayas","LOMAS DE SARGENTILLO          "," LOMAS DE SARGENTILLO","9466","8947","18413"
"Guayas",""," Total","9466","8947","18413"
"Guayas","MILAGRO                       "," CHOBO","2772","2649","5421"
"Guayas",""," MARISCAL SUCRE (HUAQUES)","2827","2538","5365"
"Guayas",""," MILAGRO","72031","72994","145025"
"Guayas",""," ROBERTO ASTUDILLO","5611","5212","10823"
"Guayas",""," Total","83241","83393","166634"
"Guayas","NARANJAL                      "," JESUS MARIA","3486","2941","6427"
"Guayas",""," NARANJAL","20721","19118","39839"
"Guayas",""," SAN CARLOS","3530","2986","6516"
"Guayas",""," SANTA ROSA DE FLANDES","2917","2527","5444"
"Guayas",""," TAURA","5971","4815","10786"
"Guayas",""," Total","36625","32387","69012"
"Guayas","NARANJITO                     "," NARANJITO","19063","18123","37186"
"Guayas",""," Total","19063","18123","37186"
"Guayas","NOBOL                         "," NARCISA DE JESUS","9856","9744","19600"
"Guayas",""," Total","9856","9744","19600"
"Guayas","PALESTINA                     "," PALESTINA","8354","7711","16065"
"Guayas",""," Total","8354","7711","16065"
"Guayas","PEDRO CARBO                   "," PEDRO CARBO","16216","15101","31317"
"Guayas",""," SABANILLA","3635","3254","6889"
"Guayas",""," VALLE DE LA VIRGEN","2757","2473","5230"
"Guayas",""," Total","22608","20828","43436"
"Guayas","PLAYAS                        "," GENERAL VILLAMIL","21242","20693","41935"
"Guayas",""," Total","21242","20693","41935"
"Guayas","SAMBORONDON                   "," SAMBORONDON","25249","26385","51634"
"Guayas",""," TARIFA","8253","7703","15956"
"Guayas",""," Total","33502","34088","67590"
"Guayas","SANTA LUCIA                   "," SANTA LUCIA","20276","18647","38923"
"Guayas",""," Total","20276","18647","38923"
"Guayas","SIMON BOLIVAR                 "," CRNEL.LORENZO DE GARAICOA","5729","5169","10898"
"Guayas",""," SIMON BOLIVAR","7541","7044","14585"
"Guayas",""," Total","13270","12213","25483"
"Guayas","URBINA JADO                   "," EL SALITRE (LAS RAMAS)","14399","13718","28117"
"Guayas",""," GENERAL VERNAZA","5039","4472","9511"
"Guayas",""," JUNQUILLAL","6984","6320","13304"
"Guayas",""," LA VICTORIA (ÑAUZA)","3406","3064","6470"
"Guayas",""," Total","29828","27574","57402"
"Guayas","YAGUACHI                      "," GRAL. PEDRO J. MONTERO","4332","3863","8195"
"Guayas",""," VIRGEN DE FATIMA","7289","6900","14189"
"Guayas",""," YAGUACHI NUEVO","13429","13188","26617"
"Guayas",""," YAGUACHI VIEJO (CONE)","6214","5743","11957"
"Guayas",""," Total","31264","29694","60958"
"Guayas","Total","","1815914","1829569","3645483"
"Imbabura","ANTONIO ANTE                  "," ATUNTAQUI","11208","12091","23299"
"Imbabura",""," IMBAYA","652","627","1279"
"Imbabura",""," SAN FRANCISCO DE NATABUE","2719","2932","5651"
"Imbabura",""," SAN JOSE DE CHALTURA","1503","1644","3147"
"Imbabura",""," SAN ROQUE","4987","5155","10142"
"Imbabura",""," Total","21069","22449","43518"
"Imbabura","COTACACHI                     "," 6 DE JULIO DE CUELLAJE","936","844","1780"
"Imbabura",""," APUELA","942","882","1824"
"Imbabura",""," COTACACHI","8398","8741","17139"
"Imbabura",""," GARCIA MORENO","2675","2385","5060"
"Imbabura",""," IMANTAG","2424","2517","4941"
"Imbabura",""," PEÑAHERRERA","850","794","1644"
"Imbabura",""," PLAZA GUTIERREZ","260","236","496"
"Imbabura",""," QUIROGA","3210","3244","6454"
"Imbabura",""," VACAS GALINDO (EL CHURO)","395","303","698"
"Imbabura",""," Total","20090","19946","40036"
"Imbabura","IBARRA                        "," AMBUQUI","2707","2770","5477"
"Imbabura",""," ANGOCHAGUA","1510","1753","3263"
"Imbabura",""," CAROLINA","1448","1291","2739"
"Imbabura",""," IBARRA","67165","72556","139721"
"Imbabura",""," LA ESPERANZA","3686","3677","7363"
"Imbabura",""," LITA","1788","1561","3349"
"Imbabura",""," SALINAS","887","854","1741"
"Imbabura",""," SAN ANTONIO","8595","8927","17522"
"Imbabura",""," Total","87786","93389","181175"
"Imbabura","OTAVALO                       "," DR. MIGUEL EGAS CABEZAS","2344","2539","4883"
"Imbabura",""," EUGENIO ESPEJO (CALPAQUI)","3499","3858","7357"
"Imbabura",""," GONZALEZ SUAREZ","2753","2877","5630"
"Imbabura",""," OTAVALO","25274","27479","52753"
"Imbabura",""," PATAQUI","128","141","269"
"Imbabura",""," SAN JOSE DE QUICHINCHE","4142","4334","8476"
"Imbabura",""," SAN JUAN DE ILUMAN","4186","4398","8584"
"Imbabura",""," SAN PABLO","4701","5200","9901"
"Imbabura",""," SAN RAFAEL","2561","2860","5421"
"Imbabura",""," SELVA ALEGRE","858","742","1600"
"Imbabura",""," Total","50446","54428","104874"
"Imbabura","PIMAMPIRO                     "," CHUGA","577","503","1080"
"Imbabura",""," MARIANO ACOSTA","756","788","1544"
"Imbabura",""," PIMAMPIRO","4459","4618","9077"
"Imbabura",""," SAN FRANCISCO DE SIGSIPA","656","613","1269"
"Imbabura",""," Total","6448","6522","12970"
"Imbabura","SAN MIGUEL DE URCUQUI         "," CAHUASQUI","936","877","1813"
"Imbabura",""," LA MERCED DE BUENOS AIRES","989","904","1893"
"Imbabura",""," PABLO ARENAS","1068","1050","2118"
"Imbabura",""," SAN BLAS","1468","1547","3015"
"Imbabura",""," TUMBABIRO","816","811","1627"
"Imbabura",""," URCUQUI","2548","2657","5205"
"Imbabura",""," Total","7825","7846","15671"
"Imbabura","Total"," Total","193664","204580","398244"
"Loja","CALVAS                        "," CARIAMANGA","10402","10899","21301"
"Loja",""," COLAISACA","941","913","1854"
"Loja",""," EL LUCERO","1037","988","2025"
"Loja",""," SANGILLIN","866","802","1668"
"Loja",""," UTUANA","704","633","1337"
"Loja",""," Total","13950","14235","28185"
"Loja","CATAMAYO                      "," CATAMAYO (LA TOMA)","11577","11878","23455"
"Loja",""," EL TAMBO","2375","2255","4630"
"Loja",""," GUAYQUICHUMA","198","185","383"
"Loja",""," SAN PEDRO DE LA BENDITA","780","810","1590"
"Loja",""," ZAMBI","296","284","580"
"Loja",""," Total","15226","15412","30638"
"Loja","CELICA                        "," CELICA","3773","3550","7323"
"Loja",""," CRUZPAMBA","576","518","1094"
"Loja",""," POZUL (SAN JUAN DE POZUL","1520","1515","3035"
"Loja",""," SABANILLA","1318","1125","2443"
"Loja",""," TNTE. MAXIMILIANO RODRIG","319","254","573"
"Loja",""," Total","7506","6962","14468"
"Loja","CHAGUARPAMBA                  "," AMARILLOS","346","317","663"
"Loja",""," BUENAVISTA","627","587","1214"
"Loja",""," CHAGUARPAMBA","1877","1702","3579"
"Loja",""," EL ROSARIO","255","240","495"
"Loja",""," SANTA RUFINA","629","581","1210"
"Loja",""," Total","3734","3427","7161"
"Loja","ESPINDOLA                     "," 27 DE ABRIL","1084","1002","2086"
"Loja",""," AMALUZA","1745","1693","3438"
"Loja",""," BELLAVISTA","1219","1116","2335"
"Loja",""," EL AIRO","536","461","997"
"Loja",""," EL INGENIO","964","907","1871"
"Loja",""," JIMBURA","1169","1147","2316"
"Loja",""," SANTA TERESITA","881","875","1756"
"Loja",""," Total","7598","7201","14799"
"Loja","GONZANAMA                     "," CHANGAIMINA (LA LIBERTAD","1390","1361","2751"
"Loja",""," GONZANAMA","1205","1316","2521"
"Loja",""," NAMBACOLA","2291","2229","4520"
"Loja",""," PURUNUMA (EGUIGUREN)","404","352","756"
"Loja",""," SACAPALCA","1100","1068","2168"
"Loja",""," Total","6390","6326","12716"
"Loja","LOJA                          "," CHANTACO","560","617","1177"
"Loja",""," CHUQUIRIBAMBA","1140","1326","2466"
"Loja",""," EL CISNE","783","845","1628"
"Loja",""," GUALEL","950","1110","2060"
"Loja",""," JIMBILLA","563","551","1114"
"Loja",""," LOJA","86631","93986","180617"
"Loja",""," MALACATOS (VALLADOLID)","3577","3537","7114"
"Loja",""," QUINARA","720","664","1384"
"Loja",""," SAN LUCAS","2210","2463","4673"
"Loja",""," SAN PEDRO DE VILCABAMBA","650","639","1289"
"Loja",""," SANTIAGO","666","707","1373"
"Loja",""," TAQUIL (MIGUEL RIOFRIO)","1819","1844","3663"
"Loja",""," VILCABAMBA (VICTORIA)","2365","2413","4778"
"Loja",""," YANGANA (ARSENIO CASTILLO)","836","683","1519"
"Loja",""," Total","103470","111385","214855"
"Loja","MACARA                        "," LA VICTORIA","799","758","1557"
"Loja",""," LARAMA","564","516","1080"
"Loja",""," MACARA","7959","7771","15730"
"Loja",""," SABIANGO (LA CAPILLA)","327","324","651"
"Loja",""," Total","9649","9369","19018"
"Loja","OLMEDO                        "," LA TINGUE","360","308","668"
"Loja",""," OLMEDO","2062","2140","4202"
"Loja",""," Total","2422","2448","4870"
"Loja","PALTAS                        "," CANGONAMA","636","635","1271"
"Loja",""," CASANGA","931","874","1805"
"Loja",""," CATACOCHA","5943","6259","12202"
"Loja",""," GUACHANAMA","1383","1219","2602"
"Loja",""," LAURO GUERRERO","915","910","1825"
"Loja",""," ORIANGA","890","873","1763"
"Loja",""," SAN ANTONIO","563","528","1091"
"Loja",""," YAMANA","620","622","1242"
"Loja",""," Total","11881","11920","23801"
"Loja","PINDAL                        "," 12 DE DICIEMBRE","989","902","1891"
"Loja",""," CHAQUINAL","583","506","1089"
"Loja",""," PINDAL","2930","2735","5665"
"Loja",""," Total","4502","4143","8645"
"Loja","PUYANGO                       "," ALAMOR","4119","4177","8296"
"Loja",""," CIANO","721","705","1426"
"Loja",""," EL ARENAL","511","470","981"
"Loja",""," EL LIMO (MARIANA DE JESUS)","1290","1080","2370"
"Loja",""," MERCADILLO","599","575","1174"
"Loja",""," VICENTINO","646","620","1266"
"Loja",""," Total","7886","7627","15513"
"Loja","QUILANGA                      "," FUNDOCHAMBA","190","163","353"
"Loja",""," QUILANGA","1386","1335","2721"
"Loja",""," SAN ANTONIO DE LAS ARADAS","645","618","1263"
"Loja",""," Total","2221","2116","4337"
"Loja","SARAGURO                      "," EL PARAISO DE CELEN","1256","1501","2757"
"Loja",""," EL TABLON","437","480","917"
"Loja",""," LLUZHAPA","834","871","1705"
"Loja",""," MANU","1255","1413","2668"
"Loja",""," SAN ANTONIO DE QUMBE","530","616","1146"
"Loja",""," SAN PABLO DE TENTA","1747","1929","3676"
"Loja",""," SAN SEBASTIAN DE YULUC","479","503","982"
"Loja",""," SARAGURO","4228","4817","9045"
"Loja",""," SELVA ALEGRE","903","1024","1927"
"Loja",""," SUMAYPAMBA","769","825","1594"
"Loja",""," URDANETA (PAQUISHAPA)","1685","2081","3766"
"Loja",""," Total","14123","16060","30183"
"Loja","SOZORANGA                     "," NUEVA FATIMA","466","437","903"
"Loja",""," SOZORANGA","1974","1787","3761"
"Loja",""," TACAMOROS","1355","1446","2801"
"Loja",""," Total","3795","3670","7465"
"Loja","ZAPOTILLO                     "," BOLASPAMBA","594","492","1086"
"Loja",""," CAZADEROS","638","534","1172"
"Loja",""," GARZAREAL","962","820","1782"
"Loja",""," LIMONES","747","663","1410"
"Loja",""," PALETILLAS","1379","1252","2631"
"Loja",""," ZAPOTILLO","2121","2110","4231"
"Loja",""," Total","6441","5871","12312"
"Loja","Total","","220794","228172","448966"
"Los Rios","BABA                          "," BABA","9845","8998","18843"
"Los Rios",""," GUARE","6067","5380","11447"
"Los Rios",""," ISLA DE BEJUCAL","4853","4538","9391"
"Los Rios",""," Total","20765","18916","39681"
"Los Rios","BABAHOYO                      "," BABAHOYO","48220","48736","96956"
"Los Rios",""," CARACOL","2688","2424","5112"
"Los Rios",""," FEBRES CORDERO (LAS JUNTAS)","9442","8543","17985"
"Los Rios",""," LA UNION","6635","6062","12697"
"Los Rios",""," PIMOCHA","10982","10044","21026"
"Los Rios",""," Total","77967","75809","153776"
"Los Rios","BUENA FE                      "," PATRICIA PILAR","6441","5837","12278"
"Los Rios",""," SAN JACINTO DE BUENA FE","26208","24662","50870"
"Los Rios",""," Total","32649","30499","63148"
"Los Rios","MOCACHE                       "," MOCACHE","19996","18396","38392"
"Los Rios",""," Total","19996","18396","38392"
"Los Rios","MONTALVO                      "," MONTALVO","12298","11866","24164"
"Los Rios",""," Total","12298","11866","24164"
"Los Rios","PALENQUE                      "," PALENQUE","11841","10479","22320"
"Los Rios",""," Total","11841","10479","22320"
"Los Rios","PUEBLOVIEJO                   "," PUEBLOVIEJO","6828","6548","13376"
"Los Rios",""," PUERTO PECHICHE","2412","2262","4674"
"Los Rios",""," SAN JUAN","9374","9053","18427"
"Los Rios",""," Total","18614","17863","36477"
"Los Rios","QUEVEDO                       "," LA ESPERANZA","2509","2344","4853"
"Los Rios",""," QUEVEDO","79218","79476","158694"
"Los Rios",""," SAN CARLOS","5094","4934","10028"
"Los Rios",""," Total","86821","86754","173575"
"Los Rios","QUINSALOMA                    "," QUINSALOMA","8627","7849","16476"
"Los Rios",""," Total","8627","7849","16476"
"Los Rios","URDANETA                      "," CATARAMA","4305","4286","8591"
"Los Rios",""," RICAURTE","10758","9914","20672"
"Los Rios",""," Total","15063","14200","29263"
"Los Rios","VALENCIA                      "," VALENCIA","22592","19964","42556"
"Los Rios",""," Total","22592","19964","42556"
"Los Rios","VENTANAS                      "," VENTANAS","22916","22735","45651"
"Los Rios",""," ZAPOTAL","10869","10031","20900"
"Los Rios",""," Total","33785","32766","66551"
"Los Rios","VINCES                        "," ANTONIO SOTOMAYOR","8673","7620","16293"
"Los Rios",""," VINCES","28408","27035","55443"
"Los Rios",""," Total","37081","34655","71736"
"Los Rios","Total","","398099","380016","778115"
"Manabi","24 DE MAYO                    "," ARQ. SIXTO DURAN BALLEN","2091","1861","3952"
"Manabi",""," BELLAVISTA","2512","2408","4920"
"Manabi",""," NOBOA","3440","3108","6548"
"Manabi",""," SUCRE","6858","6568","13426"
"Manabi",""," Total","14901","13945","28846"
"Manabi","BOLIVAR                       "," CALCETA","16660","16755","33415"
"Manabi",""," MEMBRILLO","1849","1704","3553"
"Manabi",""," QUIROGA","2305","1462","3767"
"Manabi",""," Total","20814","19921","40735"
"Manabi","CHONE                         "," BOYACA","2377","2124","4501"
"Manabi",""," CANUTO","5212","5143","10355"
"Manabi",""," CHIBUNGA","3455","2905","6360"
"Manabi",""," CHONE","36669","38237","74906"
"Manabi",""," CONVENTO","3424","3154","6578"
"Manabi",""," ELOY ALFARO","4036","3796","7832"
"Manabi",""," RICAURTE","4047","3873","7920"
"Manabi",""," SAN ANTONIO","4063","3976","8039"
"Manabi",""," Total","63283","63208","126491"
"Manabi","EL CARMEN                     "," EL CARMEN","39567","38176","77743"
"Manabi",""," SAN PEDRO DE SUMA","3521","3171","6692"
"Manabi",""," WILFRIDO LOOR MOREIRA","2429","2157","4586"
"Manabi",""," Total","45517","43504","89021"
"Manabi","FLAVIO ALFARO                 "," FLAVIO ALFARO","9500","9036","18536"
"Manabi",""," SAN FRANCISCO DE NOVILLO","1502","1277","2779"
"Manabi",""," ZAPALLO","1907","1782","3689"
"Manabi",""," Total","12909","12095","25004"
"Manabi","JAMA                          "," JAMA","11850","11403","23253"
"Manabi",""," Total","11850","11403","23253"
"Manabi","JARAMIJO                      "," JARAMIJO","9511","8975","18486"
"Manabi",""," Total","9511","8975","18486"
"Manabi","JIPIJAPA                      "," AMERICA","1638","1422","3060"
"Manabi",""," EL ANEGADO","3656","3208","6864"
"Manabi",""," JIPIJAPA","24301","24775","49076"
"Manabi",""," JULCUY","1150","1025","2175"
"Manabi",""," LA UNION","1062","879","1941"
"Manabi",""," MEMBRILLAL","560","445","1005"
"Manabi",""," PEDRO PABLO GOMEZ","1897","1667","3564"
"Manabi",""," PUERTO DE CAYO","1807","1591","3398"
"Manabi",""," Total","36071","35012","71083"
"Manabi","JUNIN                         "," JUNIN","9750","9192","18942"
"Manabi",""," Total","9750","9192","18942"
"Manabi","MANTA                         "," MANTA","108677","112445","221122"
"Manabi",""," SAN LORENZO","1374","1273","2647"
"Manabi",""," SANTA MARIANITA","1352","1356","2708"
"Manabi",""," Total","111403","115074","226477"
"Manabi","MONTECRISTI                   "," LA PILA","1286","1166","2452"
"Manabi",""," MONTECRISTI","34018","33824","67842"
"Manabi",""," Total","35304","34990","70294"
"Manabi","OLMEDO                        "," OLMEDO","5083","4761","9844"
"Manabi",""," Total","5083","4761","9844"
"Manabi","PAJAN                         "," CAMPOZANO","4530","3977","8507"
"Manabi",""," CASCOL","3917","3275","7192"
"Manabi",""," GUALE","2043","1888","3931"
"Manabi",""," LASCANO","2732","2445","5177"
"Manabi",""," PAJAN","6307","5959","12266"
"Manabi",""," Total","19529","17544","37073"
"Manabi","PEDERNALES                    "," 10 DE AGOSTO","2680","2532","5212"
"Manabi",""," ATAHUALPA","1310","1258","2568"
"Manabi",""," COJIMIES","7241","6467","13708"
"Manabi",""," PEDERNALES","17189","16451","33640"
"Manabi",""," Total","28420","26708","55128"
"Manabi","PICHINCHA                     "," BARRAGANETE","4010","3557","7567"
"Manabi",""," PICHINCHA","9000","8416","17416"
"Manabi",""," SAN SEBASTIAN","2663","2598","5261"
"Manabi",""," Total","15673","14571","30244"
"Manabi","PORTOVIEJO                    "," ABDON CALDERON","7204","6960","14164"
"Manabi",""," ALHAJUELA (BAJO GRANDE)","1844","1910","3754"
"Manabi",""," CHIRIJOS","1204","1158","2362"
"Manabi",""," CRUCITA","7184","6866","14050"
"Manabi",""," PORTOVIEJO","108878","114208","223086"
"Manabi",""," PUEBLO NUEVO","1645","1524","3169"
"Manabi",""," RIOCHICO (RIO CHICO)","6155","5602","11757"
"Manabi",""," SAN PLACIDO","3855","3832","7687"
"Manabi",""," Total","137969","142060","280029"
"Manabi","PUERTO LOPEZ                  "," MACHALILLA","2568","2421","4989"
"Manabi",""," PUERTO LOPEZ","5647","5281","10928"
"Manabi",""," SALANGO","2349","2185","4534"
"Manabi",""," Total","10564","9887","20451"
"Manabi","ROCAFUERTE                    "," ROCAFUERTE","16922","16547","33469"
"Manabi",""," Total","16922","16547","33469"
"Manabi","SAN VICENTE                   "," CANOA","3663","3224","6887"
"Manabi",""," SAN VICENTE","7601","7537","15138"
"Manabi",""," Total","11264","10761","22025"
"Manabi","SANTA ANA                     "," AYACUCHO","3729","3694","7423"
"Manabi",""," HONORATO VASQUEZ","2994","2892","5886"
"Manabi",""," LA UNION","3354","3112","6466"
"Manabi",""," SAN PABLO","2802","2510","5312"
"Manabi",""," SANTA ANA DE VUELTA LARGA","11214","11084","22298"
"Manabi",""," Total","24093","23292","47385"
"Manabi","SUCRE                         "," BAHIA DE CARAQUEZ","13075","13037","26112"
"Manabi",""," CHARAPOTO","10216","9844","20060"
"Manabi",""," SAN ISIDRO","5651","5336","10987"
"Manabi",""," Total","28942","28217","57159"
"Manabi","TOSAGUA                       "," ANGEL PEDRO GILER","3212","3070","6282"
"Manabi",""," BACHILLERO","1979","1906","3885"
"Manabi",""," TOSAGUA","14336","13838","28174"
"Manabi",""," Total","19527","18814","38341"
"Manabi","Total"," Total","689299","680481","1369780"
"Morona Santiago","GUALAQUIZA                    "," AMAZONAS (ROSARIO DE CUYES)","201","211","412"
"Morona Santiago",""," BERMEJOS","119","104","223"
"Morona Santiago",""," BOMBOIZA","2341","2282","4623"
"Morona Santiago",""," CHIGUINDA","266","286","552"
"Morona Santiago",""," EL IDEAL","425","396","821"
"Morona Santiago",""," EL ROSARIO","303","305","608"
"Morona Santiago",""," GUALAQUIZA","4694","4534","9228"
"Morona Santiago",""," NUEVA TARQUI","252","259","511"
"Morona Santiago",""," SAN MIGUEL DE CUYES","96","88","184"
"Morona Santiago",""," Total","8697","8465","17162"
"Morona Santiago","HUAMBOYA                      "," CHIGUAZA","3000","2928","5928"
"Morona Santiago",""," HUAMBOYA","1316","1222","2538"
"Morona Santiago",""," Total","4316","4150","8466"
"Morona Santiago","LIMON INDANZA                 "," GENERAL LEONIDAS PLAZA G.","1920","2061","3981"
"Morona Santiago",""," INDANZA","704","659","1363"
"Morona Santiago",""," SAN ANTONIO","1073","1084","2157"
